grn_number,grn_date,po_reference,item_code,quantity_received,receiving_warehouse,received_by
GRN-001,2026-03-07,PO-001,PKG-TAPE-3IN,200,BOS1,J. Martinez
GRN-002,2026-03-10,PO-002,STCH-WRAP-80G,25,SEA4,S. Chen
GRN-003,2026-03-17,PO-002,STCH-WRAP-80G,25,SEA4,S. Chen
GRN-004,2026-03-11,PO-003,SAFE-GOG-ANSI,150,DFW2,A. Patel
GRN-005,2026-03-18,PO-004,SHLF-BRK-STL,300,JFK5,R. Thompson
GRN-006,2026-03-27,PO-004,SHLF-BRK-STL,200,JFK5,R. Thompson
GRN-007,2026-03-16,PO-005,SHIP-LBL-4X6,10000,ORD3,K. Williams
GRN-008,2026-03-19,PO-006,CABL-TIE-12IN,300,SFO2,J. Martinez
GRN-009,2026-03-27,PO-007,FLT-MTR-48V,3,ATL1,S. Chen
GRN-010,2026-03-24,PO-008,BCOD-SCAN-BT,15,BOS1,A. Patel
GRN-011,2026-04-02,PO-008,BCOD-SCAN-BT,10,BOS1,A. Patel
GRN-012,2026-03-26,PO-009,STCH-WRAP-80G,30,SEA4,R. Thompson
GRN-013,2026-03-28,PO-010,PKG-TAPE-3IN,400,DFW2,K. Williams
GRN-014,2026-04-01,PO-011,NITR-GLV-MED,100,JFK5,J. Martinez
GRN-015,2026-04-03,PO-012,SAFE-GOG-ANSI,80,ORD3,S. Chen
GRN-016,2026-04-08,PO-013,SHLF-BRK-STL,60,SFO2,A. Patel
GRN-017,2026-04-09,PO-015,STCH-WRAP-80G,110,BOS1,R. Thompson
GRN-018,2026-04-11,PO-016,BCOD-SCAN-BT,20,SEA4,K. Williams
GRN-019,2026-04-15,PO-017,CONV-ROLL-6,30,DFW2,J. Martinez
GRN-020,2026-04-22,PO-017,CONV-ROLL-6,20,DFW2,J. Martinez
GRN-021,2026-04-16,PO-018,NITR-GLV-MED,50,JFK5,S. Chen
GRN-022,2026-04-18,PO-019,SHIP-LBL-4X6,5000,ORD3,A. Patel
GRN-023,2026-04-22,PO-020,PKG-TAPE-3IN,300,SFO2,R. Thompson
GRN-024,2026-04-23,PO-021,STCH-WRAP-80G,40,BOS1,K. Williams
GRN-025,2026-04-25,PO-022,PKG-TAPE-3IN,200,SEA4,J. Martinez
GRN-026,2026-04-26,PO-023,SAFE-GOG-ANSI,100,DFW2,A. Patel
GRN-027,2026-04-29,PO-024,CONV-ROLL-6,75,ORD3,S. Chen
GRN-028,2026-04-28,PO-025,SHLF-BRK-STL,300,BOS1,R. Thompson
