po_number,po_date,supplier_id,supplier_name,item_code,item_description,quantity,unit_price,uom,total_amount,warehouse_code,payment_terms,supplier_diversity_cert
PO-001,2026-03-03,SUP-001,Apex Industrial,PKG-TAPE-3IN,Heavy Duty Packing Tape 3-inch,200,2.85,rolls,570.00,BOS1,Net 30,small_business
PO-002,2026-03-05,SUP-002,GlobalPack Solutions,STCH-WRAP-80G,Stretch Wrap 80 Gauge,50,28.50,pallets,1425.00,SEA4,Net 60,none
PO-003,2026-03-07,SUP-003,Summit Safety Equipment,SAFE-GOG-ANSI,Safety Goggles ANSI Z87.1,150,4.25,pairs,637.50,DFW2,Net 30,woman_owned
PO-004,2026-03-10,SUP-004,PrecisionParts Corp,SHLF-BRK-STL,Steel Shelving Brackets,500,1.95,units,975.00,JFK5,Net 60,none
PO-005,2026-03-12,SUP-008,NorthStar Labels,SHIP-LBL-4X6,Shipping Labels 4x6 Thermal,10000,0.12,units,1200.00,ORD3,2/10 Net 30,minority_owned
PO-006,2026-03-14,SUP-006,Meridian Fasteners,CABL-TIE-12IN,Cable Ties 12-inch,300,0.45,units,135.00,SFO2,Net 30,veteran_owned
PO-007,2026-03-17,SUP-007,CoreFlow Motors,FLT-MTR-48V,Forklift Motor 48V DC,3,2400.00,units,7200.00,ATL1,Net 60,none
PO-008,2026-03-19,SUP-010,Vanguard Tools,BCOD-SCAN-BT,Barcode Scanner Bluetooth,25,185.00,units,4625.00,BOS1,Net 30,small_business
PO-009,2026-03-21,SUP-009,BrightEdge Packaging,STCH-WRAP-80G,Stretch Wrap 80 Gauge,30,28.50,pallets,855.00,SEA4,Net 60,woman_owned
PO-010,2026-03-24,SUP-002,GlobalPack Solutions,PKG-TAPE-3IN,Heavy Duty Packing Tape 3-inch,400,2.85,rolls,1140.00,DFW2,Net 30,none
PO-011,2026-03-26,SUP-001,Apex Industrial,NITR-GLV-MED,Nitrile Gloves Medium,100,8.50,boxes,850.00,JFK5,Net 30,small_business
PO-012,2026-03-28,SUP-003,Summit Safety Equipment,SAFE-GOG-ANSI,Safety Goggles ANSI Z87.1,100,4.25,pairs,425.00,ORD3,Net 30,woman_owned
PO-013,2026-03-31,SUP-004,PrecisionParts Corp,SHLF-BRK-STL,Steel Shelving Brackets,100,1.95,units,195.00,SFO2,Net 60,none
PO-014,2026-04-02,SUP-006,Meridian Fasteners,CABL-TIE-12IN,Cable Ties 12-inch,100,0.45,units,45.00,ATL1,Net 30,veteran_owned
PO-015,2026-04-04,SUP-002,GlobalPack Solutions,STCH-WRAP-80G,Stretch Wrap 80 Gauge,100,28.50,pallets,2850.00,BOS1,Net 60,none
PO-016,2026-04-07,SUP-010,Vanguard Tools,BCOD-SCAN-BT,Barcode Scanner Bluetooth,20,185.00,units,3700.00,SEA4,Net 30,small_business
PO-017,2026-04-09,SUP-005,TransLogix Shipping,CONV-ROLL-6,Conveyor Roller 6-inch,50,22.75,units,1137.50,DFW2,Net 60,none
PO-018,2026-04-11,SUP-002,GlobalPack Solutions,NITR-GLV-MED,Nitrile Gloves Medium,50,42.00,cases,2100.00,JFK5,Net 30,none
PO-019,2026-04-14,SUP-008,NorthStar Labels,SHIP-LBL-4X6,Shipping Labels 4x6 Thermal,5000,0.12,units,600.00,ORD3,2/10 Net 30,minority_owned
PO-020,2026-04-16,SUP-001,Apex Industrial,PKG-TAPE-3IN,Heavy Duty Packing Tape 3-inch,300,2.85,rolls,855.00,SFO2,Net 30,small_business
PO-021,2026-04-18,SUP-009,BrightEdge Packaging,STCH-WRAP-80G,Stretch Wrap 80 Gauge,40,28.50,pallets,1140.00,BOS1,Net 60,woman_owned
PO-022,2026-04-21,SUP-001,Apex Industrial,PKG-TAPE-3IN,Heavy Duty Packing Tape 3-inch,200,2.85,rolls,570.00,SEA4,Net 30,small_business
PO-023,2026-04-23,SUP-003,Summit Safety Equipment,SAFE-GOG-ANSI,Safety Goggles ANSI Z87.1,100,4.25,pairs,425.00,DFW2,Net 30 (Tax 7%),woman_owned
PO-024,2026-04-24,SUP-005,TransLogix Shipping,CONV-ROLL-6,Conveyor Roller 6-inch,75,22.75,units,1706.25,ORD3,Net 60,none
PO-025,2026-04-22,SUP-004,PrecisionParts Corp,SHLF-BRK-STL,Steel Shelving Brackets,300,1.95,units,585.00,BOS1,Net 60,none
