invoice_number,invoice_date,supplier_id,supplier_name,po_reference,item_code,item_description,quantity_invoiced,unit_price,uom,total_amount,notes
INV-0001,2026-03-10,SUP-001,Apex Industrial,PO-001,PKG-TAPE-3IN,Heavy Duty Packing Tape 3-inch,200,2.85,rolls,570.00,
INV-0002,2026-03-18,SUP-002,GlobalPack Solutions,PO-002,STCH-WRAP-80G,Stretch Wrap 80 Gauge,50,28.50,pallets,1425.00,
INV-0003,2026-03-14,SUP-003,Summit Safety Equipment,PO-003,SAFE-GOG-ANSI,Safety Goggles ANSI Z87.1,150,4.25,pairs,637.50,
INV-0004,2026-03-28,SUP-004,PrecisionParts Corp,PO-004,SHLF-BRK-STL,Steel Shelving Brackets,500,1.95,units,975.00,
INV-0005,2026-03-19,SUP-008,NorthStar Labels,PO-005,SHIP-LBL-4X6,Shipping Labels 4x6 Thermal,10000,0.12,units,1200.00,
INV-0006,2026-03-21,SUP-006,Meridian Fasteners,PO-006,CABL-TIE-12IN,Cable Ties 12-inch,300,0.45,units,135.00,
INV-0007,2026-03-28,SUP-007,CoreFlow Motors,PO-007,FLT-MTR-48V,Forklift Motor 48V DC,3,2400.00,units,7200.00,
INV-0008,2026-04-03,SUP-010,Vanguard Tools,PO-008,BCOD-SCAN-BT,Barcode Scanner Bluetooth,25,185.00,units,4625.00,
INV-0009,2026-03-28,SUP-009,BrightEdge Packaging,PO-009,STCH-WRAP-80G,Stretch Wrap 80 Gauge,30,28.50,pallets,855.00,
INV-0010,2026-04-01,SUP-002,GlobalPack Solutions,PO-010,PKG-TAPE-3IN,Heavy Duty Packing Tape 3-inch,400,2.85,rolls,1140.00,
INV-0011,2026-04-03,SUP-001,Apex Industrial,PO-011,NITR-GLV-MED,Nitrile Gloves Medium,120,8.50,boxes,1020.00,
INV-0012,2026-04-05,SUP-003,Summit Safety Equipment,PO-012,SAFE-GOG-ANSI,Safety Goggles ANSI Z87.1,80,4.25,pairs,340.00,
INV-0013,2026-04-07,SUP-004,PrecisionParts Corp,PO-013,SHLF-BRK-STL,Steel Shelving Brackets,100,1.95,units,195.00,
INV-0014,2026-04-09,SUP-006,Meridian Fasteners,PO-014,CABL-TIE-12IN,Cable Ties 12-inch,100,0.45,units,45.00,
INV-0015,2026-04-11,SUP-002,GlobalPack Solutions,PO-015,STCH-WRAP-80G,Stretch Wrap 80 Gauge,100,28.50,pallets,2850.00,
INV-0016,2026-04-14,SUP-010,Vanguard Tools,PO-016,BCOD-SCAN-BT,Barcode Scanner Bluetooth,20,199.80,units,3996.00,
INV-0017,2026-04-16,SUP-005,TransLogix Shipping,PO-017,CONV-ROLL-6,Conveyor Roller 6-inch,50,22.75,units,1422.50,Includes $285.00 freight surcharge per carrier fuel rate schedule
INV-0018,2026-04-18,SUP-002,GlobalPack Solutions,PO-018,NITR-GLV-MED,Nitrile Gloves Medium,600,3.50,units,2100.00,Unit pricing applied; PO issued in cases (1 case = 12 units)
INV-0019,2026-04-21,SUP-008,NorthStar Labels,PO-019,SHIP-LBL-4X6,Shipping Labels 4x6 Thermal,5000,0.12,units,600.00,Standard net-30 payment terms per supplier; 2/10 early-pay discount not offered
INV-0020,2026-04-23,SUP-001,Apex Industrial Supply Co.,PO-020,PKG-TAPE-3IN,Heavy Duty Packing Tape 3-inch,300,2.85,rolls,855.00,
INV-0005,2026-04-25,SUP-009,BrightEdge Packaging,PO-021,STCH-WRAP-80G,Stretch Wrap 80 Gauge,40,28.50,pallets,1140.00,
INV-0022,2026-04-26,SUP-001,Apex Industrial,PO-022,PKG-TAPE-3IN,Industrial Packaging Tape 3in,200,2.85,rolls,570.00,
INV-0023,2026-04-27,SUP-003,Summit Safety Equipment,PO-023,SAFE-GOG-ANSI,Safety Goggles ANSI Z87.1,100,4.25,pairs,461.13,Tax applied at 8.5% per regional schedule
INV-0024,2026-04-28,SUP-005,TransLogix Shipping,PO-099,CONV-ROLL-6,Conveyor Roller 6-inch,25,22.75,units,568.75,Urgent order placed directly with supplier
INV-0025,2026-04-29,SUP-004,PrecisionParts Corp,PO-025,SHLF-BRK-STL,Steel Shelving Brackets,300,2.25,units,675.00,Price adjusted per 2026 tariff schedule - HS Code 7318.15
